,STORE NAME,STORE ADDRESS,WEBSITE,EMAIL,PHONE
1,ADELFIOFRANCESCAPAOLA,VIAMENDOLA128-90127-PALERMO(PA),NA,ADELFIOFRANCESCAPAOLA@PEC.IT,3386294910
2,ARCOS.R.L.,VIAGIORDANOUMBERTO45-90144-PALERMO(PA),ARCOPIAGGIO.IT,ARCO@DEALER.PIAGGIOGROUP.NET,3387324319
3,AREABICIS.R.L.S.,VIASANLORENZO158-90146-PALERMO(PA),NA,AREABICI51@GMAIL.COM,3409154393
4,ASCIUTTOGOMMEDIASCIUTTOGIACINTO,ISNELLO155-90016-COLLESANO(PA),NA,AVICIU75@GMAIL.COM,0921664363
5,AUTOSYSTEMSRL,VIAACIN6-90145-PALERMO(PA),WWW.AUTOSYSTEM.COM,RICAMBI@AUTOSYSTEM.COM,091206000
6,AUTOTAMBURELLO,VIANAZIONALE82/84-90045-CINISI(PA),WWW.EVEBIKE.IT,AUTOTAMSRL@GMAIL.COM,0918664771
7,AUTOGRILL-CARACOLINORD,A19Catania-Palermo-90018-TERMINIIMERESE(PA),https://www.autogrill.com/,0620-caracoliN@autogrill.net,091/8143985
8,AUTOGRILL-SCILLATOSUD,A19-Palermo-CataniaKM55+500-90020-SCILLATO(PA),https://www.autogrill.com/,7138-scillatoS@autogrill.net,0921/663320
9,AUTOGRILL-TERMINIIMERESESUD,A19Palermo-Catania-90018-TERMINIIMERESE(PA),https://www.autogrill.com/,0621-terminiims@autogrill.net,091/8145317
10,AZETATONER,VIADANTE65-90141-PALERMO(PA),WWW.AZETATONER.IT,AZETATONER@GMAIL.COM,0918437732
11,BICISANICOLADISANICOLAGIOVANNA,"PIAZZAGENERALEEUCLIDETURBA,79-90129-PALERMO(PA)",NA,BICISAN@LIBERO.IT,3335275135
12,BICITALIASRL,VIAFRANCESCOLAURANA123/127-90143-PALERMO(PA),NA,BICITALIAPALERMO@GMAIL.COM,NA
