,STORE NAME,STORE ADDRESS,WEBSITE,EMAIL,PHONE
1,AUTOGRILL-DORNO,A7Milano-Serravalle-27020-DORNO(PV),https://www.autogrill.com/,0017-dorno@autogrill.net,0382/84096
2,AUTOGRILL-STRADELLANORD,A21Piacenza-Bologna-27049-STRADELLA(PV),https://www.autogrill.com/,0680-stradellan@autogrill.net,0385/246109
3,AUTOGRILL-STRADELLASUD,A21Torino-Piacenza-27049-STRADELLA(PV),https://www.autogrill.com/,0062-stradellaS@autogrill.net,0385/48167
4,BAISAEBIKEDIDOMENICODISTASI,VIAVENA4-27049-STRADELLA(PV),BAISAEBIKE.IT,NA,NA
5,BENNET,"STRADASTATALE4949,VIACASESPARSE4-27020-PARONA(PV)",WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0384298766
6,BENNET,VIALOMELLINA59ang.viavecellio3-27036-MORTARA(PV),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0384295900
7,BENNET,STRADAPROVINCIALEPERMORTARA7/37-27028-SANMARTINOSICCOMARIO(PV),WWW.BENNET.COM,FLAVIO.GURINI@BENNET.COM,0382556861
8,BICICLETTEBRAZZODIBRAZZOFILIPPO,CorsoPartigiani35-27012-CERTOSADIPAVIA(PV),WWW.CICLIBRAZZO.SHOP,INFO@CICLIBRAZZO.IT,0382925821
9,BIKEDELUDISAROLLIPATRIZIA,VIAVITTORIOVENETO-27020-ALBONESE(PV),NA,PATRIZIA.SAROLLI@TISCALI.IT,3493943409
10,BREZZA,CorsoTorino85-27029-VIGEVANO(PV),WWW.EBIKE-BREZZA.IT,INFO@EBIKE-BREZZA.IT,0381570193
11,BRICOIOVIGEVANO,"CORSODIVITTORIO,31-27029-VIGEVANO(PV)",WWW.BRICOIO.IT,VIGEVANO@BRICOIO.IT,0381691047
12,CENTRODELCICLISMODIALBERTORIBONI,VIALEDAMIANOCHIESA9-27100-PAVIA(PV),NA,ALBERTO.RIBONI1@GMAIL.COM,0382539040
13,CICLIARRIGONIDIARRIGONIELENA&CSAS,VIAMADONNA7DOLORI9-27029-VIGEVANO(PV),NA,CICLIARRIGONI@HOTMAIL.IT,038182574
14,CICLOFFICINAGARIABLDIS.N.CDICIANCIOP.ESAVI,CORSOGARIBALDI27/A-27100-PAVIA(PV),WWW.CICLOFFICINAGARIBALDI.IT,CICLOFFICINAGARIBALDI@GMAIL.COM,0382060075
15,CICLOMANIASNCDISEMINIM.EBARBIERIA.,CORSOFRATELLIROSSELLI82-27058-VOGHERA(PV),WWW.CICLOMANIAVOGHERA.COM,CICLOMANIAVOGHERA@GMAIL.COM,0383367619
16,CISALFASPORT,CENTROCOMM.LEILDUCALEUNITA'12A-27029-VIGEVANO(PV),WWW.CISALFASPORT.IT,NEG007@CISALFASPORT.IT,0381562146
17,DARRACYCLES-DSCS.R.L.,VIAROMA135BIS-27023-CASSOLNOVO(PV),WWW.DARRA.NET,DARRACYCLES@GMAIL.COM,0381928389
18,DECATHLONSANMARTINOSICCOMARIO,STRADAPROVINCIALEPERMORTARA3-27028-SANMARTINOSICCOMARIO(PV),WWW.DECATHLON.IT,NA,NA
19,DECATHLONVOGHERA,VIAPIACENZA132-27058-VOGHERA(PV),WWW.DECATHLON.IT,NA,NA
20,EURONICSBINOVA,VIALUIGIEINAUDI3-27043-BRONI(PV),WWW.EURONICS.IT,PV.BRONI@BINOVASRL.IT,NA
21,ILBICICLETTAIO,VIALEDEIPARTIGIANI-27100-PAVIA(PV),WWW.ILBICICLETTAIOPAVIA.COM,BICICLETTAIO@EMAIL.IT,3489629829
22,IPERLAGRANDEI-MONTEBELLO,VIAINGEGNERADOLFOMAZZA-27054-MONTEBELLODELLABATTAGLIA(PV),NA,NA,NA
23,KASANOVA-GAVADICALLEGARISLAURAEC.SAS,CENTROCOMMERCIALEILDUCALE-VIALEINDUSTRIA225-27029-VIGEVANO(PV),NA,VIGEVANO@KASANOVA.IT,038140335
24,LABICICLETTASRL,QUARTIEREVILLETTE-27021-BEREGUARDO(PV),HTTP://WWW.LABICICLETTADIBEREGUARDO.COM/,ARSONI@LIBERO.IT,0382928311
25,LAMOTOTECNICASNC,1-27100-PAVIA(PV),MOTOTECNICANERI.IT,INFO@MOTOTECNICANERI.IT,0382576387
26,MOBISMARTSRL,ViaCardinaleAgostinoRiboldi26-27100-PAVIA(PV),WWW.MOBISMART.IT,INFO@MOBISMART.IT,03821751266
27,NORAUTOITALIASPA-406,VIAINGEGNERADOLFOMAZZA50-27054-MONTEBELLODELLABATTAGLIA(PV),NA,BONUSMOBILITA@NORAUTO.IT,0116489914
28,NORAUTOITALIASPA-421,SPVIGENTINAANGVIACASSANI-27100-PAVIA(PV),NA,BONUSMOBILITA@NORAUTO.IT,0116489914
29,NORAUTOITALIASPA-426,VIAGIORGIOAMBROSOLI8-10-27029-VIGEVANO(PV),NA,BONUSMOBILITA@NORAUTO.IT,0116489914
30,NUOVASIDAP-DORNO,A7Milano-Serravalle-27020-DORNO(PV),https://www.autogrill.com/,9214-dornooil@autogrill.net,0382/84091
