,STORE NAME,STORE ADDRESS,WEBSITE,EMAIL,PHONE
1,360BIKESTORE,VIASTAZIONEPROSECCO13-34010-SGONICO(TS),WWW.360BIKESTORE.IT,INFO@360BIKESTORE.IT,040225159
2,AERREBIKEDIALESSANDROROJC,SALITADIRAUTE3-34149-TRIESTE(TS),NA,ALESSANDRO.ROJC@CON-TE.COM,0408438095
3,AUTOGRILL-DUINOSUD,A4Trieste-VeneziaMestre-34013-DUINO-AURISINA(TS),https://www.autogrill.com/,0794-duinos@autogrill.net,040/209847
4,BEP'S,VIAFLAVIA55-34147-TRIESTE(TS),WWW.BEPS.IT,NA,040380198
5,CENTRORADIOPCETELEFONIADIM.VISINTINIEC.SAS,VIAIMBRIANI8-34122-TRIESTE(TS),NA,CENTRORADIOPC@INWIND.IT,040638051
6,CITYGREENE-BIKEDINAPOLANOANTONIETTA,VIAGIULIA78/C-34126-TRIESTE(TS),WWW.CITYGREENTRIESTE.COM,CITYGREENTRIESTE@GMAIL.COM,0402031392
7,COTTURGIORDANOS.A.SDICOTTURGIOVANNI&C.,CICLOPEDONALEGIORDANOCOTTUR-34125-TRIESTE(TS),WWW.COTTUR.IT,COTTURGIOVANNI@LIBERO.IT,040771423
8,CUSSIGHBIKESRL,VIAFLAVIA55-34147-TRIESTE(TS),WWW.CUSSIGHBIKE.IT,AMMINISTRAZIONE@CUSSIGHBIKE.IT,0409828570
9,DECATHLONMUGGIA,VIAFLAVIADISTRAMARE-34015-MUGGIA(TS),WWW.DECATHLON.IT,NA,NA
10,EMMEGIDIMARCOMORO,VIAPAGANINI4-34122-TRIESTE(TS),NA,PHONEPOINT.EMMEGI@GMAIL.COM,040631347
11,EMMEVIRICAMBIDIVITADRIANO,VIADELGHIRLANDAIO5/B-34138-TRIESTE(TS),NA,EMMEVIRICAMBI@GMAIL.COM,040870098
12,KOALABIKESRL,VIAPANIFILOCASTALDI2-34137-TRIESTE(TS),WWW.KOALABIKESHOP.IT,KOALA.BIKE2014@GMAIL.COM,0402335448
13,MONTEDORO,"VIAFLAVIADISTRAMARE,119-34015-MUGGIA(TS)",NA,NA,NA
14,MOTORBIKE,FRAZIONESISTIANA54/D-34011-DUINO-AURISINA(TS),WWW.MOTORBIKESISTIANA.IT,MOTORBIKE.TRIESTE@TIN.IT,040291233
15,NORAUTOITALIASPA-443,VIAFLAVIA-34148-TRIESTE(TS),NA,BONUSMOBILITA@NORAUTO.IT,0116489914
16,OBI,STRADADELLAROSANDRA2-34147-TRIESTE(TS),WWW.OBI-ITALIA.IT,negozio123@obi-italia.it,0402822011
17,SPBIKE,VIALEGABRIELED'ANNUNZIO-34138-TRIESTE(TS),SPBIKETRIESTE.COM,SPBIKETRIESTE@GMAIL.COM,0402601586
18,SPORTLER,"VIAGIULIA,75-34126-TRIESTE(TS)",WWW.SPORTLER.COM,NEGOZIO.TRIESTE.BIKE.SKI@SPORTLER.COM,040569848
19,TORRID'EUROPA,"VIAI.SVEVO,14/16-34144-TRIESTE(TS)",NA,NA,NA
20,UNIEUROMUGGIA,"VIAFLAVIADISTRAMARE,C/OC.C.""MONTEDOROFREETIME""-34015-(TS)",NA,NA,NA
